ФИО,Год,Специальность,Средний балл ЦЭ/ЦТ,Средний балл аттестата,Средний балл при поступлении,Адрес,Телефон,Форма обучения,Математика,Физика,Химия,История,Обществознание
г-жа Пестова Ирина Георгиевна,2023,Химия,66.2,8.0,37.1,"к. Томпа, ш. Мира, д. 8/9, 773211",+7 (563) 085-4354,Вечерняя,57,94,45,74,61
Евсей Андреевич Сидоров,2022,История Беларуси,81.6,8.0,44.8,"д. Тюмень, наб. Главная, д. 87 к. 7/5, 972519",+7 427 339 1809,Вечерняя,61,99,76,91,81
Рябова Лариса Александровна,2022,Химия,77.4,7.5,42.4,"к. Ступино, ш. Л.Толстого, д. 6/9 стр. 1/1, 571645",+7 690 333 97 16,Вечерняя,88,81,77,57,84
Дорофей Арсенович Казаков,2021,Биология,62.2,6.6,34.4,"с. Луховицы, наб. Советской Армии, д. 968 стр. 12, 007102",+7 (754) 858-3301,Заочная,63,81,69,53,45
Наркис Эдуардович Фомин,2024,Биология,58.4,7.6,33.0,"д. Старая Русса, наб. Орловская, д. 39 к. 97, 268507",8 (422) 583-6705,Вечерняя,46,91,53,48,54
Марина Ивановна Николаева,2024,Химия,55.8,9.8,32.8,"к. Мценск, пр. Сплавный, д. 2/3 стр. 45, 115994",+7 (902) 618-84-20,Вечерняя,41,66,41,74,57
Степанова Ираида Семеновна,2021,Математика,55.0,7.9,31.4,"г. Беслан, пер. Енисейский, д. 721, 746218",+7 (478) 861-11-67,Очная,57,49,64,41,64
Михеев Любомир Дорофеевич,2022,Биология,62.0,8.4,35.2,"клх Усть-Илимск, ул. Таманская, д. 21, 989486",8 (401) 921-41-72,Очная,72,75,70,53,40
Ульяна Григорьевна Мясникова,2021,Химия,77.0,7.6,42.3,"клх Белокуриха, ш. Прибрежное, д. 6/7 стр. 3/4, 196955",87073711201,Очная,93,85,91,42,74
Савин Исидор Фомич,2022,Физика,65.6,7.9,36.8,"клх Шатура, бул. Революционный, д. 70 стр. 1, 187564",+7 (161) 000-34-57,Вечерняя,64,52,92,73,47
Евдокия Рубеновна Мухина,2022,Математика,57.6,8.2,32.9,"с. Псков, алл. Льва Толстого, д. 312 к. 912, 990390",+75191828746,Вечерняя,43,64,54,43,84
Варлаам Якубович Сидоров,2022,Химия,66.2,8.0,37.1,"с. Усть-Баргузин, наб. Крупской, д. 3, 027223",+7 947 622 87 78,Заочная,71,71,67,52,70
Дементьева Агафья Олеговна,2021,История Беларуси,68.0,6.9,37.4,"к. Воскресенск, бул. Речной, д. 99, 217215",8 (986) 208-9204,Вечерняя,57,68,99,45,71
Нинель Кузьминична Сидорова,2024,Химия,66.0,6.2,36.1,"с. Великий Устюг, пер. Есенина, д. 95 стр. 776, 004684",85017515136,Заочная,41,99,62,58,70
Куликова Нонна Федоровна,2023,История Беларуси,57.0,7.9,32.4,"г. Алексин, пр. Островского, д. 952, 207451",81159218955,Заочная,58,73,49,64,41
Майя Леоновна Федосеева,2023,Физика,71.2,7.7,39.4,"п. Яхрома, бул. Смоленский, д. 6/6 стр. 4, 139279",8 403 295 38 32,Очная,89,70,95,54,48
Мясников Андроник Евсеевич,2023,История Беларуси,59.4,7.2,33.3,"к. Усмань, бул. Вольный, д. 6 к. 9, 205455",8 075 260 30 06,Вечерняя,48,74,60,48,67
Меркушев Фрол Игнатович,2022,Биология,69.0,8.5,38.8,"клх Шенкурск, ш. Омское, д. 3/3, 222459",8 (013) 495-2577,Очная,90,46,55,55,99
Вадим Гаврилович Шашков,2023,История Беларуси,66.4,8.5,37.4,"д. Моршанск, бул. Тамбовский, д. 26 стр. 8, 466438",+7 (350) 662-3362,Очная,43,78,79,56,76
Радован Феоктистович Семенов,2022,История Беларуси,84.8,9.4,47.1,"к. Холмск, ш. Ленина, д. 56 к. 3, 096052",+73954435039,Вечерняя,91,68,91,75,99
Князева Алла Ивановна,2023,Биология,75.2,8.1,41.6,"к. Тимашевск, алл. Беляева, д. 6/4, 448309",8 707 266 65 77,Заочная,89,76,91,74,46
Родионова Наталья Наумовна,2021,Физика,59.4,9.9,34.6,"п. Тулпан, пер. Карла Маркса, д. 8/3 стр. 228, 024469",+7 143 854 8021,Вечерняя,61,53,46,76,61
Элеонора Игоревна Кабанова,2025,История Беларуси,70.8,9.2,40.0,"п. Касимов, ул. Зои Космодемьянской, д. 546 стр. 3/8, 213044",+7 407 632 65 35,Заочная,94,41,66,60,93
Надежда Харитоновна Федосеева,2022,Биология,72.6,8.1,40.3,"клх Городовиковск, ш. Воронежское, д. 784, 933030",8 (349) 851-4764,Заочная,60,49,62,97,95
Фадей Ефимьевич Панов,2021,Математика,61.2,8.5,34.8,"с. Объячево, ш. Новгородское, д. 4, 211967",+7 (364) 988-2952,Вечерняя,40,52,60,65,89
Елизавета Ниловна Самойлова,2022,Физика,76.0,8.0,42.0,"ст. Талдом, бул. Пушкинский, д. 185 стр. 1, 881461",+7 (698) 122-6303,Очная,92,57,76,84,71
Суханов Фока Давидович,2022,Химия,74.2,9.4,41.8,"к. Москва, МГУ, ш. Кооперативное, д. 38, 818167",+7 (725) 961-3282,Очная,74,88,99,50,60
Дмитрий Федосеевич Филиппов,2024,История Беларуси,73.4,7.3,40.4,"с. Воткинск, ш. Братское, д. 35 к. 875, 806820",+7 708 023 96 95,Заочная,94,92,65,43,73
Харитонов Владимир Терентьевич,2021,Химия,77.8,8.5,43.2,"клх Усть-Джегута, бул. Донской, д. 5/1 стр. 9/3, 480597",8 (913) 105-0653,Заочная,99,57,79,74,80
Майя Харитоновна Зайцева,2025,Химия,73.4,9.6,41.5,"д. Пушкин, ш. Трактовое, д. 963 стр. 327, 557836",+7 214 412 7375,Заочная,68,77,81,60,81
Лора Петровна Трофимова,2025,Химия,71.8,8.8,40.3,"клх Нефедова, ул. Песчаная, д. 78 к. 1/2, 968932",82589649804,Вечерняя,80,56,95,48,80
Боброва Дарья Рубеновна,2024,Математика,75.0,9.7,42.4,"д. Касимов, алл. Водопроводная, д. 469 к. 26, 240411",89322552849,Очная,99,87,68,72,49
Емельянова Светлана Александровна,2022,Физика,71.0,8.0,39.5,"д. Курган, ш. Транспортное, д. 4 к. 53, 086427",+7 (180) 555-09-63,Вечерняя,99,79,60,67,50
Филиппова Марина Георгиевна,2025,Физика,68.2,8.5,38.4,"п. Лотошино, алл. Коммунистическая, д. 43 к. 6, 218309",8 (398) 691-9656,Очная,47,98,61,47,88
Беляков Святополк Брониславович,2025,Биология,73.2,6.4,39.8,"с. Мирный, пр. Поперечный, д. 6, 924634",8 (194) 325-3510,Заочная,99,62,63,84,58
Юлий Феодосьевич Сафонов,2025,История Беларуси,61.6,6.2,33.9,"с. Буйнакск, пер. Коммунальный, д. 5/1 к. 512, 326230",88386585983,Очная,83,40,62,76,47
Евгения Аскольдовна Кондратьева,2021,История Беларуси,72.8,9.2,41.0,"клх Хасан, пр. Крайний, д. 501 стр. 450, 363714",8 939 481 89 39,Заочная,96,62,82,40,84
Мария Никифоровна Калашникова,2025,Математика,59.2,9.0,34.1,"п. Октябрьское (Хант.), ш. Каштановое, д. 236, 688064",+79287332867,Очная,74,63,56,44,59
Болеслав Ерофеевич Морозов,2025,Физика,75.4,9.9,42.7,"д. Киров (Вятка), ул. Титова, д. 27 стр. 5, 310723",+7 (401) 223-4842,Заочная,97,70,85,75,50
Кузнецова Ия Тимуровна,2024,Математика,70.2,6.7,38.4,"клх Сосьва (Хант.), бул. Коллективный, д. 797 к. 74, 903183",80897727656,Заочная,58,46,90,67,90
Светлана Наумовна Лазарева,2021,Биология,64.2,6.3,35.2,"д. Кулу, наб. Железнодорожная, д. 44, 875236",8 353 485 31 20,Очная,44,44,69,93,71
Ферапонт Вилорович Голубев,2024,Химия,74.0,9.9,42.0,"г. Тольятти, наб. Леваневского, д. 1 стр. 373, 885634",+7 178 092 7833,Заочная,49,77,86,71,87
Кондратий Антонович Федотов,2021,Химия,61.6,7.5,34.6,"клх Городовиковск, ш. Деповское, д. 60 стр. 9/3, 358644",+7 (116) 624-70-19,Очная,70,47,79,64,48
Надежда Юльевна Михайлова,2022,Биология,67.4,9.1,38.2,"д. Котлас, пр. Овражный, д. 1 к. 573, 202263",8 352 680 0320,Очная,89,42,88,75,43
Овчинников Будимир Жоресович,2021,Химия,84.8,7.3,46.0,"клх Ямбург, ш. Марта 8, д. 5 к. 8, 200510",8 480 067 12 85,Заочная,80,64,97,94,89
Кира Борисовна Блинова,2023,Математика,62.4,8.4,35.4,"клх Кудымкар, алл. Покровская, д. 7/9, 007845",+72294908450,Заочная,75,51,66,79,41
Казаков Ратмир Брониславович,2023,Биология,71.8,8.5,40.2,"д. Галич, ш. Кочубея, д. 8/9 стр. 27, 213927",+7 636 750 9855,Заочная,92,71,70,55,71
